 22 10000
 0 876 112 856 416 193 590 972 613 476 159 876 106 966 986 824 889 962 733 713 769 795
 769 0 476 116 449 173 840 84 148 313 783 24 425 992 793 971 934 765 936 410 276 812
 868 242 0 150 692 132 465 777 197 234 572 966 63 40 767 588 881 204 736 546 339 113
 324 331 906 0 647 617 671 935 380 948 100 248 542 250 293 26 67 70 223 654 995 542
 69 35 661 657 0 268 865 394 167 205 507 491 888 413 490 506 436 425 238 384 525 486
 927 128 131 953 547 0 202 529 201 549 71 270 936 732 928 205 950 674 372 155 181 215
 43 946 705 901 382 130 0 139 119 8 978 46 488 109 351 35 663 232 237 212 655 859
 501 740 139 706 690 813 430 0 845 346 645 240 292 702 494 27 832 985 146 192 963 544
 680 425 247 716 440 480 305 5 0 135 164 506 875 656 564 917 469 994 114 816 991 355
 460 693 201 487 525 186 985 70 502 0 529 750 927 777 818 719 257 123 724 744 640 230
 972 296 794 889 117 140 356 285 131 711 0 746 824 264 585 702 450 571 772 952 100 874
 231 229 693 951 838 168 27 935 808 258 907 0 456 404 148 574 545 504 859 676 567 957
 853 831 895 555 634 466 327 938 918 553 522 500 0 246 473 338 767 852 273 575 462 532
 384 867 681 958 764 537 169 792 457 127 645 640 374 0 200 274 840 879 565 110 433 87
 610 31 912 301 798 764 574 726 227 459 110 94 492 68 0 210 29 589 2 838 68 648
 479 442 200 105 282 80 670 745 865 757 707 248 669 8 399 0 434 935 125 661 394 235
 107 886 655 317 267 596 319 106 665 967 585 107 520 690 742 600 0 361 487 817 470 546
 65 140 555 464 574 490 941 587 884 528 694 122 535 363 389 132 682 0 495 797 2 432
 904 522 123 998 474 836 485 643 306 32 60 798 939 877 724 781 818 311 0 17 347 357
 139 882 720 528 366 755 376 163 109 808 420 631 931 418 457 119 904 100 778 0 288 160
 576 579 37 653 360 208 964 377 907 674 516 789 394 396 508 501 772 671 610 581 0 91
 593 864 510 50 336 766 502 114 406 15 42 985 404 695 697 612 12 74 519 686 942 0
