 20 10000
 0 50 7 85 41 38 82 51 62 9 33 50 75 94 11 46 90 96 88 39
 13 0 70 1 53 24 2 95 26 19 39 96 19 41 55 56 82 94 38 86
 8 99 0 19 59 75 66 22 73 8 18 62 0 83 84 1 36 60 3 84
 86 74 75 0 35 45 16 90 1 98 84 40 36 45 91 8 4 66 26 78
 92 34 96 54 0 34 79 90 88 67 51 43 51 89 70 26 24 15 94 15
 17 93 51 9 81 0 96 0 89 52 19 15 30 11 2 78 17 88 57 7
 76 77 10 72 80 0 0 42 59 24 57 53 91 74 98 43 83 80 91 84
 21 44 55 37 74 66 91 0 53 83 79 62 42 8 91 53 80 72 5 22
 31 29 31 84 73 6 35 16 0 89 15 7 25 36 3 80 25 78 98 16
 83 81 48 97 24 8 89 29 88 0 13 34 62 96 15 93 80 40 51 67
 56 93 82 16 70 71 19 51 96 49 0 49 65 84 83 13 34 59 21 75
 40 61 88 74 23 84 41 68 16 82 72 0 84 90 65 18 58 35 89 78
 38 86 79 40 3 16 23 16 50 82 37 25 0 22 50 65 48 73 49 41
 93 17 75 65 53 18 82 72 76 18 61 6 56 0 99 86 96 2 2 71
 70 4 5 59 29 79 9 94 27 34 95 21 28 64 0 48 45 18 66 28
 90 43 98 3 1 6 55 87 55 57 41 26 28 97 32 0 39 26 11 49
 72 91 83 19 64 63 84 12 9 2 31 89 44 74 39 47 0 75 45 2
 15 0 12 8 79 92 6 63 31 84 26 80 9 69 64 80 33 0 79 64
 98 88 18 29 29 14 55 68 62 82 66 16 49 18 80 58 49 72 0 16
 12 4 52 39 36 61 60 52 94 94 32 58 44 72 29 25 54 43 80 0
