 21 10000
 0 39 126 217 66 595 831 898 207 805 516 153 149 831 948 53 731 589 652 526 672
 178 0 369 766 540 547 745 555 49 66 95 782 105 573 0 172 521 831 70 728 988
 586 881 0 137 769 181 190 501 123 194 379 147 372 748 266 264 295 363 820 697 429
 267 479 535 0 193 479 59 714 662 481 442 651 68 676 788 837 209 331 690 332 525
 421 832 250 170 0 98 514 817 461 686 866 891 954 346 778 147 177 837 861 840 318
 655 843 738 683 631 0 928 245 314 970 577 192 392 761 442 914 211 956 731 673 643
 598 916 949 296 694 448 0 473 531 661 665 201 316 508 940 352 492 868 597 158 190
 526 350 582 640 144 496 851 0 101 580 524 96 530 792 45 178 838 493 651 721 154
 669 923 822 529 863 526 21 83 0 123 180 625 2 882 208 642 27 56 493 480 988
 370 576 518 162 973 696 1 818 700 0 722 972 721 997 146 250 860 673 624 295 148
 804 273 502 38 481 144 65 889 990 545 0 878 360 473 748 874 446 797 875 264 497
 950 588 570 947 87 820 160 112 444 807 612 0 600 80 115 639 913 259 704 803 601
 602 33 961 75 133 836 874 930 63 138 779 365 0 79 349 665 166 170 825 630 966
 984 242 567 417 357 558 330 969 614 485 570 216 870 0 884 644 4 720 518 934 135
 8 714 853 439 415 518 957 937 695 587 904 679 830 823 0 96 187 733 779 508 347
 264 79 916 487 963 912 491 35 430 425 522 790 491 375 582 0 907 893 539 196 588
 127 100 268 309 275 716 496 8 495 5 356 112 436 624 599 399 0 536 90 786 318
 867 308 460 711 684 42 970 577 582 166 518 61 619 138 370 894 854 0 218 255 702
 575 963 814 363 587 765 114 123 207 900 793 74 209 253 137 245 296 107 0 174 230
 274 692 643 893 830 365 787 37 935 394 739 863 357 905 226 944 22 341 419 0 229
 593 212 303 154 466 441 399 114 900 926 696 174 618 339 67 801 56 207 838 991 0
