52 60
97 68 75 30 94 11 63 11 21 39 79 42 32 64 35 70 33 26 57 97 21 90 83 73 92 21 64 45 39 30 61 37 50 88 19 44 0 34 56 73 25 87 16 57 51 51 27 84 77 36 33 50 
27 68 75 71 41 39 68 80 69 30 69 71 70 88 16 22 75 72 96 0 59 12 10 62 63 37 98 92 26 31 94 5 99 70 76 92 9 45 72 31 27 94 2 97 34 18 72 9 42 68 62 53 
80 72 15 95 61 13 39 87 96 33 92 47 3 21 39 65 18 12 48 45 58 50 94 92 21 66 2 15 86 64 69 66 88 36 13 49 2 4 89 98 38 33 46 93 54 85 10 24 49 58 69 7 
61 16 52 34 82 54 49 21 70 70 87 10 59 53 59 61 57 0 11 47 34 9 93 40 95 55 65 96 66 86 56 27 2 8 61 37 14 62 58 36 85 97 46 44 50 5 57 60 6 68 59 92 
78 4 32 25 60 49 73 26 36 81 53 38 89 66 27 55 80 85 91 17 35 89 61 37 95 70 97 53 39 9 97 69 13 81 46 73 31 19 51 67 53 56 57 42 74 37 50 55 22 93 72 57 
83 86 47 30 56 44 35 47 5 32 68 19 65 14 44 96 86 96 15 39 52 25 33 27 62 83 82 36 29 6 46 12 44 93 42 53 89 29 0 95 61 69 14 78 35 58 75 21 54 42 12 7 
67 46 86 81 81 20 18 10 26 64 22 23 57 16 76 98 45 76 93 58 97 7 37 33 18 64 6 72 6 19 31 26 17 69 7 98 89 77 61 68 41 35 91 50 52 67 49 49 95 42 60 45 
2 49 30 20 13 36 44 71 7 28 49 24 97 57 75 87 34 36 7 28 71 98 30 75 17 79 77 64 74 37 9 28 38 39 48 3 28 44 74 35 72 76 12 22 85 87 61 19 75 68 99 46 
18 30 22 35 61 51 99 87 88 61 15 26 0 15 29 28 60 55 16 84 31 28 6 16 67 19 88 42 87 39 40 5 21 14 92 35 65 44 22 5 5 90 31 5 57 12 86 69 20 54 54 3 
82 12 20 1 32 60 95 71 99 35 77 73 50 21 8 15 65 82 21 22 24 4 80 82 69 66 51 89 20 57 92 54 70 64 7 54 76 2 25 28 37 54 1 87 76 9 55 93 91 28 16 16 
84 96 50 53 14 1 94 86 59 39 40 81 55 47 35 32 49 60 60 38 15 61 78 43 22 33 88 65 13 4 33 97 52 83 3 66 37 49 4 96 88 96 77 96 43 64 28 44 24 40 35 91 
1 13 86 75 98 75 40 11 79 74 60 84 57 15 2 94 65 7 42 5 3 71 1 99 35 81 95 12 21 30 3 74 95 90 49 93 65 90 56 96 64 69 32 73 84 35 20 1 94 14 7 97 
86 60 48 21 42 44 85 63 26 89 38 22 31 39 15 48 29 24 96 45 93 29 71 77 16 43 31 10 57 38 7 43 98 56 17 92 52 2 8 78 43 98 0 74 37 68 74 19 92 71 64 37 
0 87 66 16 30 97 78 88 35 85 83 86 93 52 30 45 7 38 24 50 36 76 77 26 44 3 45 88 74 61 25 26 49 92 94 79 89 72 19 77 58 3 15 3 7 45 1 14 36 25 17 24 
53 46 50 98 49 47 86 24 9 64 2 58 56 97 89 97 69 9 26 79 64 93 83 71 39 36 38 27 61 7 51 66 53 54 64 54 1 3 30 62 67 33 72 75 30 62 24 51 23 3 31 87 
96 66 10 87 2 48 14 15 7 18 81 60 24 98 67 25 53 97 40 72 82 12 47 12 74 23 16 97 26 99 36 23 65 47 10 19 47 77 86 55 47 19 67 71 17 86 96 70 84 88 42 66 
1 41 31 75 17 47 25 43 46 61 18 63 60 81 34 60 10 20 67 57 91 86 28 9 73 76 31 9 65 26 75 66 19 58 93 36 57 18 32 3 32 50 18 44 83 52 56 93 24 23 50 16 
62 78 77 35 7 60 96 72 38 71 38 58 82 83 46 39 54 78 95 86 29 13 82 12 18 39 58 94 14 8 62 76 39 39 63 46 52 59 18 90 83 8 0 17 91 47 56 45 25 3 83 6 
17 18 71 87 9 29 81 23 37 44 52 76 35 67 22 39 79 92 82 14 52 82 31 44 29 39 41 55 43 77 13 12 47 84 99 56 13 32 31 3 28 83 31 16 51 6 55 82 98 37 96 51 
20 27 47 1 66 40 8 61 69 22 73 16 6 24 24 72 57 56 75 37 39 58 53 42 64 61 24 63 50 72 66 70 51 65 24 70 5 32 31 27 6 5 95 65 29 20 37 38 76 64 76 67 
22 81 62 87 42 38 2 93 11 20 15 62 85 91 32 42 76 64 69 82 21 17 47 2 37 36 93 65 52 21 32 27 2 94 14 97 85 68 42 96 88 9 10 25 1 43 67 77 59 89 11 80 
6 11 34 95 47 27 60 52 48 44 79 3 91 45 0 76 13 94 72 53 3 82 78 56 77 45 85 36 86 49 68 92 60 55 87 59 82 99 11 83 44 90 86 87 35 86 63 48 32 87 1 87 
21 31 44 51 77 81 87 63 30 8 8 42 15 47 2 97 99 13 80 95 4 66 82 39 4 97 40 88 84 93 76 57 25 72 8 54 5 48 69 36 8 29 30 23 77 32 20 28 46 53 23 2 
71 5 41 28 2 33 16 38 27 44 47 4 16 56 10 74 4 79 10 12 61 40 87 38 25 59 66 71 12 41 73 36 98 66 64 0 0 32 90 79 29 37 35 97 45 45 71 49 76 81 13 37 
74 0 27 99 60 45 22 24 86 47 60 84 13 76 36 65 61 78 96 90 68 31 87 13 28 59 15 57 92 28 94 18 81 74 69 93 19 91 69 58 38 30 94 4 58 83 21 19 61 18 61 81 
1 49 95 82 60 10 39 52 90 85 71 23 59 40 68 31 84 38 41 74 68 87 30 78 70 52 50 84 22 11 65 75 60 12 57 20 74 96 25 17 34 48 40 45 88 61 76 24 99 69 51 19 
57 81 97 27 85 47 63 7 11 81 83 71 93 40 44 20 89 21 37 75 69 29 20 9 90 49 34 89 18 85 60 27 18 58 7 4 57 70 63 68 51 46 92 97 39 88 17 80 9 54 55 78 
35 27 87 26 76 73 67 47 10 28 74 81 38 81 85 95 52 0 16 55 99 60 52 90 48 21 70 9 75 77 39 63 56 26 41 33 52 8 80 14 88 54 95 26 36 32 74 40 33 42 95 32 
2 0 22 50 21 44 11 49 73 50 12 29 28 53 14 80 13 94 95 2 1 42 80 89 75 54 29 8 96 76 92 98 28 66 0 50 10 11 51 83 61 15 64 90 20 79 22 33 73 69 87 26 
12 68 15 39 22 96 99 71 25 91 21 53 57 74 55 19 37 58 2 51 73 66 41 93 45 15 79 71 37 66 97 1 34 65 40 9 13 39 32 38 82 53 44 91 79 51 10 17 10 64 68 35 
82 61 29 80 76 60 51 65 26 0 66 13 17 6 22 31 97 54 69 79 59 65 22 39 17 32 56 27 96 24 62 31 37 43 11 13 3 62 31 82 14 97 95 32 4 17 63 53 23 84 33 82 
50 7 21 19 40 29 98 88 53 60 19 42 56 30 8 11 44 39 93 11 36 88 43 40 5 58 94 80 94 79 63 96 86 36 15 78 66 13 19 71 26 38 14 34 21 22 45 17 61 39 28 97 
