 26 30
 0 85 1 14 39 56 87 89 12 78 30 11 66 83 53 27 60 27 47 36 4 85 21 51 80 92
 79 0 81 24 97 90 30 82 43 96 73 0 83 63 12 13 93 76 80 29 29 7 41 56 7 78
 12 92 0 51 63 72 95 95 53 19 92 96 1 74 39 97 47 91 33 62 56 46 8 32 26 89
 61 86 30 0 69 93 60 81 37 12 44 10 7 39 15 79 31 63 80 57 3 78 57 46 11 19
 2 57 79 34 0 36 68 47 74 51 16 19 11 97 56 75 42 18 35 81 86 14 65 49 94 22
 52 24 31 99 35 0 51 53 45 82 88 33 51 87 59 54 4 78 17 1 86 93 95 5 28 29
 91 42 94 40 88 68 0 45 13 0 96 0 3 49 45 85 89 30 88 29 89 94 33 67 12 86
 6 5 34 11 33 63 54 0 27 9 46 15 29 43 80 29 39 81 84 41 78 22 82 9 62 11
 98 57 96 18 69 83 24 74 0 17 87 59 32 93 86 41 91 53 70 35 34 52 26 15 36 67
 93 10 2 54 73 13 53 30 10 0 23 99 45 99 73 14 38 84 46 83 70 39 74 75 9 9
 9 13 36 76 2 55 22 12 57 76 0 85 23 81 15 85 56 66 30 55 39 44 45 75 42 28
 45 81 3 21 42 64 82 56 52 11 58 0 60 33 70 17 9 8 92 43 75 77 99 42 59 7
 33 55 52 9 97 33 54 30 88 27 73 52 0 62 81 57 73 39 17 6 61 86 67 69 79 62
 45 8 62 87 20 21 72 75 73 81 25 58 88 0 55 46 15 80 51 29 61 8 2 52 25 60
 14 11 28 35 42 90 32 3 4 71 23 25 44 98 0 51 25 75 9 13 83 8 81 63 59 10
 77 67 13 29 44 73 95 7 53 31 50 96 63 53 52 0 87 28 78 31 26 81 56 54 42 22
 37 50 3 52 61 13 29 80 78 11 24 52 6 32 57 37 0 34 53 53 39 6 92 67 36 23
 45 69 31 99 11 5 88 14 8 41 75 74 22 56 52 33 32 0 56 40 16 66 29 50 19 34
 41 77 26 8 13 1 6 82 33 57 46 38 46 60 99 39 87 73 0 61 95 77 95 28 86 87
 44 52 16 47 23 51 40 1 29 49 66 31 7 1 16 64 47 6 10 0 59 5 1 46 30 63
 42 60 10 22 46 97 18 98 13 65 21 16 6 74 98 7 41 29 66 42 0 97 30 41 3 93
 0 9 94 98 91 57 92 51 19 14 97 16 33 47 82 50 21 50 8 95 48 0 67 36 29 33
 30 26 16 71 82 9 23 91 55 22 34 65 66 86 84 81 83 1 66 83 35 16 0 4 85 77
 99 86 44 36 67 78 18 46 94 42 28 55 65 71 10 39 5 75 6 91 60 39 27 0 13 5
 10 48 73 14 85 50 65 71 95 1 39 25 72 85 71 14 65 26 79 36 36 71 93 64 0 77
 85 76 16 64 89 73 26 89 46 40 74 49 5 46 44 59 37 21 83 74 92 97 39 18 28 0
