 23 1000
 0 99 13 96 91 48 69 69 60 52 68 45 40 77 29 17 44 61 9 74 66 19 69
 15 0 96 96 83 59 2 53 34 32 4 47 80 95 48 49 17 60 53 85 6 46 63
 87 63 0 59 48 25 34 14 96 55 81 92 3 65 51 57 18 86 89 74 85 69 21
 33 71 38 0 94 76 76 52 22 39 91 86 98 39 63 84 5 59 92 86 4 95 3
 7 53 21 93 0 94 47 31 64 69 16 87 7 10 63 83 14 86 74 5 24 25 96
 87 61 53 98 53 0 92 54 49 95 62 54 69 7 48 16 38 64 85 55 51 45 17
 15 80 32 1 55 89 0 25 32 38 64 93 43 14 99 35 69 0 31 31 54 0 38
 54 68 29 19 54 84 70 0 51 1 37 31 85 38 38 27 15 22 17 79 16 60 46
 15 48 15 15 79 98 21 31 0 88 75 99 17 94 5 1 17 56 55 54 40 92 45
 78 19 60 1 88 92 69 1 38 0 36 49 5 3 80 3 24 11 91 51 10 61 98
 16 62 67 24 69 21 64 62 66 43 0 33 79 96 22 71 17 75 61 53 24 66 8
 4 21 84 67 64 87 77 25 85 45 40 0 52 70 9 26 34 71 44 29 5 23 77
 79 46 94 6 7 99 30 25 59 86 46 43 0 53 63 31 82 88 68 28 28 21 50
 90 99 84 61 43 66 18 67 43 49 13 90 55 0 73 41 37 98 1 23 97 96 28
 60 27 11 48 48 91 29 69 41 19 68 77 80 63 0 95 51 30 39 0 96 81 8
 21 22 45 19 23 21 16 72 49 76 99 60 77 47 3 0 6 68 96 25 88 74 57
 52 69 60 34 60 13 82 93 21 3 16 18 75 91 39 43 0 63 89 20 15 1 49
 14 57 55 83 53 32 23 27 41 27 49 2 14 61 67 48 55 0 88 4 23 6 79
 14 98 22 30 87 94 45 40 43 59 97 50 94 51 34 70 30 76 0 97 31 30 63
 93 97 12 0 37 16 23 95 47 37 93 69 19 32 16 16 25 11 76 0 22 14 22
 25 48 44 8 76 94 39 6 57 84 55 69 84 92 37 7 40 84 97 33 0 6 68
 18 74 85 43 85 13 17 51 35 43 0 32 3 28 26 42 35 83 27 42 5 0 63
 87 42 23 27 27 20 12 85 88 30 59 25 73 96 38 43 48 26 86 0 58 41 0
