 26 10
 0 693 321 202 439 264 135 661 700 262 2 279 926 819 349 643 812 899 819 20 400 565 325 467 164 332
 723 0 581 524 525 10 674 570 683 876 361 300 11 23 0 625 25 632 904 197 981 899 361 880 719 734
 632 636 0 59 99 152 743 823 733 619 700 96 293 270 131 169 631 431 533 654 784 158 32 416 414 581
 397 314 294 0 629 385 28 261 21 440 360 174 535 535 259 155 587 707 800 857 839 970 841 270 503 847
 54 13 231 470 0 428 812 219 94 459 848 479 839 461 500 279 822 674 815 709 286 322 297 993 122 506
 832 444 347 455 947 0 195 861 313 778 684 93 591 903 187 50 104 666 889 565 518 521 739 545 688 449
 831 362 746 824 484 252 0 9 929 952 816 228 499 677 893 277 361 986 220 617 173 270 721 191 512 286
 710 385 26 255 425 475 86 0 787 573 262 623 177 623 904 129 439 485 980 469 378 258 830 365 478 799
 890 101 520 434 965 807 144 350 0 185 751 775 12 189 914 585 803 537 114 427 442 244 218 927 224 687
 657 834 870 22 313 669 265 766 542 0 699 731 701 195 433 886 946 560 898 487 474 835 290 363 949 69
 805 545 288 84 122 975 742 956 197 116 0 621 867 733 739 761 432 470 462 979 255 348 277 815 598 764
 641 433 407 5 734 476 162 632 764 599 106 0 92 341 414 289 809 388 508 543 127 269 327 598 731 307
 853 79 936 21 29 53 14 814 460 19 901 936 0 534 533 701 133 639 145 826 405 434 635 793 943 178
 921 564 858 871 296 517 76 727 453 97 109 506 112 0 923 966 483 824 255 369 709 308 502 700 453 680
 106 887 316 899 182 846 172 747 56 43 395 573 120 474 0 27 569 583 885 33 507 204 517 683 459 238
 393 767 93 93 572 773 551 459 441 803 994 640 975 93 696 0 19 488 270 139 314 649 60 898 886 94
 757 442 963 440 901 201 185 20 294 631 592 420 182 404 861 985 0 398 853 313 491 550 332 331 172 823
 645 173 883 543 59 977 652 502 292 93 755 494 630 128 140 261 72 0 560 796 476 774 133 226 627 446
 69 529 778 400 701 953 46 226 837 941 638 166 594 492 459 39 247 305 0 21 727 445 283 800 358 79
 628 132 212 855 111 659 924 641 789 677 342 743 75 921 932 16 559 450 962 0 51 261 353 650 566 375
 378 364 10 530 722 441 158 206 5 365 317 16 642 958 806 319 653 901 394 574 0 185 762 485 635 77
 536 249 782 538 167 509 268 531 519 798 605 312 309 811 318 674 129 334 668 439 492 0 987 92 393 733
 18 930 848 503 918 925 391 167 59 930 686 569 198 218 440 349 175 753 658 987 71 684 0 468 757 353
 259 250 692 352 995 778 722 926 626 578 196 903 969 363 962 899 401 883 450 619 324 799 795 0 77 457
 134 148 493 954 905 198 213 507 891 917 503 21 992 781 999 570 977 902 539 692 216 791 93 100 0 241
 65 424 40 212 853 497 698 353 342 652 258 541 217 118 784 487 973 805 479 754 804 49 83 706 940 0
