 25 100
 0 701 89 338 39 24 183 381 388 198 426 247 638 907 245 59 716 571 843 956 496 645 29 331 100
 572 0 867 533 476 5 682 266 706 123 604 97 148 139 831 888 337 257 488 328 165 733 739 233 304
 583 190 0 152 228 219 835 680 791 703 565 619 708 248 885 766 371 841 215 871 333 398 760 22 656
 248 350 173 0 333 90 758 989 25 948 141 605 168 328 286 311 31 851 283 91 451 168 209 175 362
 425 46 695 823 0 158 69 831 406 420 356 91 862 115 80 239 415 573 844 935 254 482 247 285 686
 530 729 137 50 938 0 312 764 715 711 811 539 869 881 722 628 301 431 719 515 898 152 754 313 77
 950 249 331 433 848 969 0 119 730 698 608 132 636 273 897 704 984 708 595 205 589 317 833 242 100
 905 109 998 57 863 664 486 0 814 265 818 599 465 139 70 547 837 30 679 825 303 928 529 639 637
 124 845 578 794 30 173 894 935 0 282 245 344 498 261 183 664 878 353 263 343 492 685 890 681 715
 921 506 19 850 388 10 839 512 207 0 769 658 238 942 905 525 577 502 222 75 763 405 91 993 758
 706 336 602 391 578 283 106 851 789 477 0 53 529 488 892 394 695 662 52 285 956 309 163 533 811
 385 960 926 142 403 919 252 109 607 854 500 0 537 137 959 389 278 436 442 808 276 687 202 324 701
 606 609 657 916 124 543 79 509 855 6 3 259 0 925 255 368 885 109 221 422 598 532 163 877 320
 606 37 597 293 591 921 994 197 882 3 465 359 546 0 545 220 402 903 224 13 180 479 733 65 941
 306 488 539 838 651 768 159 609 805 756 254 748 29 600 0 298 263 956 115 622 502 660 843 256 915
 67 269 96 898 355 161 191 661 1 83 500 5 203 11 966 0 361 767 221 109 148 173 407 763 129
 523 386 984 535 581 592 451 0 862 899 250 569 412 442 230 766 0 877 82 771 80 93 89 441 212
 662 551 360 836 310 476 317 833 862 301 721 443 894 524 795 108 423 0 45 677 835 487 259 601 716
 342 724 797 435 814 238 0 476 789 712 664 100 188 982 285 50 635 6 0 845 529 530 992 989 305
 38 18 493 877 278 94 594 972 171 391 759 985 629 759 813 771 472 830 223 0 660 812 860 63 799
 867 260 681 749 253 670 407 291 41 900 520 671 346 114 643 517 857 754 854 839 0 514 668 610 338
 850 185 350 662 45 765 461 264 26 142 366 631 165 773 274 206 673 794 877 19 261 0 872 889 470
 626 743 309 492 763 271 182 613 456 885 627 854 650 89 118 28 583 484 659 748 609 933 0 306 282
 80 535 654 693 759 543 163 386 286 473 230 402 744 765 15 553 650 643 407 652 84 877 681 0 19
 714 692 768 323 978 426 958 58 962 612 751 721 507 266 459 145 739 42 547 836 159 915 741 809 0
