 21 10000
 0 84 80 44 16 53 90 92 1 60 83 44 18 2 34 92 41 34 57 49 65
 75 0 21 92 0 89 65 92 36 76 85 27 12 65 72 29 71 62 73 24 74
 8 68 0 92 10 54 84 4 89 41 53 6 16 26 99 68 67 16 61 4 44
 98 31 9 0 16 55 90 87 17 63 63 92 72 32 84 34 38 69 38 27 62
 43 34 79 70 0 85 99 37 53 12 41 98 11 25 7 27 80 97 14 50 12
 77 42 36 61 78 0 71 0 99 61 79 62 5 65 93 27 50 92 64 56 5
 58 6 68 83 65 95 0 63 62 61 13 26 38 7 63 52 38 86 4 37 99
 83 51 56 49 44 83 51 0 89 0 59 46 58 65 14 93 30 9 8 44 70
 74 71 60 81 86 64 71 24 0 68 61 75 4 12 32 5 9 15 8 50 67
 68 96 77 33 10 70 16 71 79 0 60 41 53 83 53 86 21 18 58 45 38
 19 21 42 83 5 47 44 72 8 94 0 40 76 90 17 61 52 40 77 23 71
 90 16 76 73 70 62 95 40 72 92 30 0 43 65 73 79 70 72 23 43 32
 18 35 8 8 52 22 61 92 99 36 63 41 0 53 39 15 75 54 62 67 78
 6 97 22 72 22 1 94 47 24 37 79 94 72 0 88 3 77 62 16 21 61
 52 37 3 57 28 70 32 34 84 51 13 90 49 87 0 62 23 88 57 70 64
 46 50 59 71 90 14 0 52 82 21 65 34 10 20 44 0 39 42 76 73 26
 80 38 69 29 25 31 4 13 40 75 30 39 77 41 10 19 0 55 62 23 37
 35 40 23 46 61 67 37 55 96 62 34 76 1 3 57 26 34 0 61 40 27
 88 22 66 65 63 28 36 70 90 59 59 77 0 34 23 13 2 60 0 20 50
 23 54 78 24 57 35 50 44 48 42 71 37 16 89 54 79 69 91 1 0 11
 2 60 88 54 95 12 19 49 24 40 51 99 94 29 75 52 64 78 48 64 0
