 20 10000
 0 260 888 104 816 881 134 556 717 164 503 100 250 910 274 840 449 650 477 753
 153 0 115 881 340 508 57 45 944 540 364 297 855 624 185 960 793 419 446 349
 136 610 0 204 236 212 114 862 404 916 513 881 21 666 996 902 359 856 311 404
 801 204 768 0 450 59 745 988 371 890 407 169 591 895 132 796 132 344 262 346
 101 178 859 334 0 199 878 331 454 237 539 117 993 692 321 114 143 733 859 483
 456 101 890 626 44 0 785 758 840 269 454 455 616 555 633 827 242 185 705 925
 991 942 464 460 936 157 0 134 50 652 867 261 135 323 714 377 301 758 514 59
 951 136 866 406 104 773 391 0 931 15 576 637 940 919 931 405 380 219 914 866
 269 566 85 882 701 760 948 78 0 62 707 592 473 10 728 339 416 184 465 807
 116 480 736 105 773 7 36 530 739 0 256 444 605 877 10 690 112 711 451 60
 141 865 119 85 338 129 166 30 897 350 0 495 57 466 327 793 571 452 152 960
 982 892 216 426 849 445 788 892 557 851 695 0 618 992 560 737 430 250 219 596
 280 116 298 127 173 765 807 318 688 259 471 648 0 594 715 216 20 564 662 161
 808 571 12 503 189 5 415 279 435 666 498 383 298 0 966 681 426 140 798 585
 458 839 196 281 839 790 996 56 163 913 70 324 73 641 0 336 577 183 693 992
 462 480 658 312 863 957 278 897 735 418 695 672 229 886 868 0 862 726 659 211
 134 822 476 204 498 549 197 834 478 380 880 471 194 360 481 506 0 224 790 137
 473 877 907 520 549 488 407 418 351 133 429 562 619 603 390 823 101 0 939 372
 287 418 105 167 241 299 528 722 158 104 865 295 577 742 554 97 644 43 0 856
 414 746 341 843 308 960 446 698 135 547 989 508 834 407 613 2 648 264 882 0
